Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 11:54:10 AM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 11:54:10 AM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 11:54:10 AM
Method: GET | URL: /purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 11:54:38 AM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 11:54:38 AM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:09:52 PM
Method: GET | URL: /assigned-purchases | Status: 500 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:09:52 PM
Method: GET | URL: /assigned-purchases | Status: 500 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:09:52 PM
Method: GET | URL: / | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:09:52 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:09:52 PM
Method: GET | URL: /assigned-purchases | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:13:53 PM
Method: GET | URL: /assigned-purchases | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:13:53 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:13:53 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:13:53 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:12 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:12 PM
Method: GET | URL: /assigned-purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:12 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:12 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:12 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:35 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:35 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:35 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:35 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:35 PM
Method: POST | URL: /api/distributor/update-delivery-status | Status: 404 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:14:49 PM
Method: POST | URL: /update-delivery-status | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:14 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:28 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:28 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:28 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:28 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:28 PM
Method: POST | URL: /update-delivery-status | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:30 PM
Method: POST | URL: /update-delivery-status | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:33 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:40 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:40 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:41 PM
Method: GET | URL: /purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:44 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:15:44 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:24:42 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:24:43 PM
Method: GET | URL: /assigned-purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:24:43 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:24:43 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:24:43 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:41:00 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:41:00 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:41:00 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:41:03 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 12:41:03 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:50:16 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:50:16 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:02 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:02 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:30 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:31 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:31 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:31 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:31 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:53 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:54 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:54 PM
Method: POST | URL: /add-to-cart | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:56 PM
Method: POST | URL: /add-to-cart | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:51:56 PM
Method: GET | URL: /get-cart | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:00 PM
Method: GET | URL: /get-cart | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:00 PM
Method: POST | URL: /checkout | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:06 PM
Method: GET | URL: /products | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:23 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:23 PM
Method: GET | URL: /get-cart | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:26 PM
Method: GET | URL: /get-cart | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:26 PM
Method: GET | URL: /purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:29 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:29 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:37 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:38 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:38 PM
Method: GET | URL: /assigned-purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:40 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:40 PM
Method: POST | URL: /update-delivery-status | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:47 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:56 PM
Method: GET | URL: /purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:57 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:52:57 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:12 PM
Method: GET | URL: /assigned-purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:12 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:12 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:12 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:12 PM
Method: POST | URL: /update-delivery-status | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:16 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:23 PM
Method: GET | URL: /purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:24 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:25 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:28 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 1:53:28 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:05:58 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:05:58 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:06:04 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:06:04 PM
